일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-03-10,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_신학기_A_v1,62004,1937,329297,263,122,8557578
2025-03-10,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_신학기_B_v1,70621,2137,413926,312,130,6536270
2025-03-10,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_신학기_v1,43561,1431,240895,215,73,5116281
2025-03-10,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_신학기_v2,69717,2155,429444,197,74,4809900
2025-03-10,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_신학기_A_v1,60683,2126,373375,198,64,3973507
2025-03-10,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_신학기_B_v1,57824,1866,323954,258,76,4040276
2025-03-10,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_신학기_v1,53399,1260,308863,136,47,2345590
2025-03-10,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_신학기_v2,42109,878,256841,104,47,3237822
2025-03-10,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_신학기_A_v1,42234,1644,199245,146,109,6724796
2025-03-10,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_신학기_B_v1,31591,973,145931,122,66,3805428
2025-03-10,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_신학기_v1,24575,943,121313,86,46,2099476
2025-03-10,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_신학기_A_v1,51342,1049,283302,115,58,3317899
2025-03-10,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_신학기_B_v1,60326,1492,279822,137,87,5203539
2025-03-10,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_신학기_v1,61238,1131,325497,129,70,3476504
2025-03-10,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_신학기_A_v1,48393,1210,299583,90,41,3010223
2025-03-10,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_신학기_B_v1,46971,1124,237519,106,43,2129334
2025-03-10,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_신학기_v1,51267,1598,315363,149,104,7296574
2025-03-10,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_신학기_A_v1,49921,1050,226875,77,26,1021621
2025-03-10,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_신학기_B_v1,39407,655,170778,44,9,385216
2025-03-10,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_신학기_v1,45467,691,163352,59,23,1049601
2025-03-10,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_신학기_A_v1,48469,898,204388,63,19,734371
2025-03-10,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_신학기_B_v1,38675,583,162661,39,15,799760
2025-03-10,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_신학기_v1,37622,508,146098,48,15,654361
2025-03-10,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_신학기_A_v1,9436,160,44511,6,5,309883
2025-03-10,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_신학기_B_v1,14161,344,47865,16,13,1075542
2025-03-10,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_신학기_v1,14106,269,55581,15,13,1089052
2025-03-10,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_신학기_A_v1,14760,261,59318,14,8,600658
2025-03-10,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_신학기_B_v1,17961,484,74034,32,21,1739776
2025-03-10,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_신학기_v1,18789,559,89734,39,32,2209586
2025-03-10,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_신학기_A_v1,8851,1005,63094,194,149,10264428
2025-03-10,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_신학기_A_v1,12599,1314,120730,185,116,6840292
2025-03-10,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_신학기_B_v1,15421,1203,138270,226,124,9959139
2025-03-10,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_신학기_A_v1,3946,243,35971,28,25,2364997
2025-03-10,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_신학기_B_v1,4128,239,39539,22,19,1690079
2025-03-10,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_신학기_v1,5438,373,37443,33,33,2715513
