일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-03-24,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_봄_A_v1,54734,1325,347186,156,37,2138218
2025-03-24,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_봄_B_v1,61154,2098,312877,286,84,5201487
2025-03-24,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_봄_v1,55079,1570,242606,226,55,3705215
2025-03-24,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_봄_v2,47117,1105,269681,107,27,1354462
2025-03-24,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_봄_A_v1,50219,1698,309309,160,31,1492664
2025-03-24,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_봄_B_v1,41791,1058,188543,110,32,1489565
2025-03-24,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_봄_v1,49730,1264,229893,123,40,2362063
2025-03-24,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_봄_v2,44625,995,251589,142,37,2058722
2025-03-24,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_봄_A_v1,36798,938,184510,83,38,1673634
2025-03-24,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_봄_B_v1,24632,1029,110723,102,35,1618464
2025-03-24,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_봄_v1,41282,1514,251266,149,71,3775651
2025-03-24,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_봄_A_v1,52664,1677,324616,125,60,3818397
2025-03-24,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_봄_B_v1,54311,1681,324943,117,33,1673876
2025-03-24,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_봄_v1,51747,1361,260417,144,46,2866352
2025-03-24,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_봄_A_v1,47852,896,223841,70,32,1722667
2025-03-24,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_봄_B_v1,45141,848,239717,69,27,1648626
2025-03-24,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_봄_v1,53577,1049,242120,79,33,2069441
2025-03-24,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_봄_A_v1,51809,766,239212,64,15,696525
2025-03-24,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_봄_B_v1,31315,376,114574,29,4,180856
2025-03-24,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_봄_v1,38597,736,166928,43,10,417546
2025-03-24,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_봄_A_v1,47061,1085,226978,79,19,755165
2025-03-24,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_봄_B_v1,42705,552,162961,39,8,451176
2025-03-24,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_봄_v1,43853,620,149889,35,10,601420
2025-03-24,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_봄_A_v1,9564,238,35194,12,5,310432
2025-03-24,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_봄_B_v1,14177,305,54843,16,9,484716
2025-03-24,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_봄_v1,10812,245,44484,14,5,400896
2025-03-24,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_봄_A_v1,25018,529,113485,31,15,1149100
2025-03-24,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_봄_B_v1,21824,501,89794,33,16,1064814
2025-03-24,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_봄_v1,22314,520,102697,37,21,1297584
2025-03-24,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_봄_A_v1,8260,1332,55083,296,180,10982137
2025-03-24,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_봄_A_v1,11660,1025,75666,169,77,5544243
2025-03-24,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_봄_B_v1,15836,1567,143311,314,108,6035211
2025-03-24,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_봄_A_v1,6989,498,44880,40,22,1539471
2025-03-24,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_봄_B_v1,6116,347,50513,39,25,2560694
2025-03-24,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_봄_v1,6433,278,52722,26,22,2233758
2025-03-24,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_봄_A_v1,10827,666,71649,55,40,4191713
2025-03-24,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_봄_B_v1,7034,458,60026,44,27,2863889
2025-03-24,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_봄_v1,10896,746,72685,78,53,5285079
