일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-03-18,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_봄_A_v1,67104,1415,401872,193,37,2530882
2025-03-18,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_봄_B_v1,39417,1079,195643,127,39,2085950
2025-03-18,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_봄_v1,50317,1682,272230,164,52,3368940
2025-03-18,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_봄_v2,70169,1934,320604,246,80,5157577
2025-03-18,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_봄_A_v1,70726,2494,459651,337,94,5116014
2025-03-18,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_봄_B_v1,38950,1131,195453,165,54,3813254
2025-03-18,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_봄_v1,63773,1457,345310,122,25,1568316
2025-03-18,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_봄_v2,68631,1631,309308,181,41,2047768
2025-03-18,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_봄_A_v1,33683,1172,169348,141,70,4142714
2025-03-18,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_봄_B_v1,37597,1584,206195,134,72,3811544
2025-03-18,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_봄_v1,29785,901,151784,118,43,2801692
2025-03-18,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_봄_A_v1,68838,1740,327890,180,67,4342638
2025-03-18,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_봄_B_v1,57065,1542,269336,117,32,1798638
2025-03-18,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_봄_v1,52396,1545,290168,158,78,4402234
2025-03-18,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_봄_A_v1,46023,1121,237454,80,30,1814669
2025-03-18,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_봄_B_v1,42159,1228,208971,82,30,1945725
2025-03-18,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_봄_v1,40898,1046,190592,83,40,2976294
2025-03-18,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_봄_A_v1,48262,557,189148,35,8,360984
2025-03-18,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_봄_B_v1,35619,579,134968,49,12,669123
2025-03-18,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_봄_v1,34399,683,154685,51,10,590948
2025-03-18,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_봄_A_v1,29623,690,141896,40,12,646136
2025-03-18,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_봄_B_v1,42571,904,176765,59,11,448531
2025-03-18,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_봄_v1,34633,734,129851,52,15,595927
2025-03-18,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_봄_A_v1,14792,282,50431,17,8,539316
2025-03-18,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_봄_B_v1,11933,311,45300,21,12,652885
2025-03-18,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_봄_v1,15409,460,72819,18,10,595634
2025-03-18,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_봄_A_v1,25741,466,121574,27,12,760065
2025-03-18,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_봄_B_v1,15765,422,71423,28,15,984679
2025-03-18,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_봄_v1,14850,329,73103,22,13,1012698
2025-03-18,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_봄_A_v1,9431,1489,81397,318,135,8806700
2025-03-18,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_봄_A_v1,10047,705,87844,116,50,3544619
2025-03-18,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_봄_B_v1,13024,1337,88582,235,78,5455281
2025-03-18,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_봄_A_v1,6554,469,58266,56,34,2776845
2025-03-18,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_봄_B_v1,5844,421,41987,45,36,3729722
2025-03-18,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_봄_v1,4327,258,34227,22,14,1271064
2025-03-18,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_봄_A_v1,8538,447,62127,41,32,2355205
2025-03-18,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_봄_B_v1,11616,816,106507,99,88,8689198
2025-03-18,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_봄_v1,6310,419,42824,52,28,2309726
