일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-03-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_신학기_A_v1,53113,1570,254420,180,40,2205242
2025-03-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_신학기_B_v1,65788,1669,337593,235,54,3510585
2025-03-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_신학기_v1,51899,1529,275917,157,36,2358928
2025-03-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_신학기_v2,41020,1383,250649,205,69,3783248
2025-03-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_신학기_A_v1,57711,1777,305695,240,79,4728634
2025-03-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_신학기_B_v1,64271,2037,337691,298,63,2950894
2025-03-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_신학기_v1,64989,2270,392461,273,61,3139363
2025-03-01,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_신학기_v2,49371,1495,220071,204,51,2999105
2025-03-01,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_신학기_A_v1,35616,1440,218402,116,39,2638826
2025-03-01,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_신학기_B_v1,31220,893,169093,69,22,1455873
2025-03-01,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_신학기_v1,37064,911,170862,100,42,2404679
2025-03-01,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_신학기_A_v1,58737,1533,273668,177,88,5319293
2025-03-01,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_신학기_B_v1,41784,1133,260913,117,59,3985051
2025-03-01,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_신학기_v1,64468,1313,299102,92,45,3349457
2025-03-01,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_신학기_A_v1,53810,1349,315481,157,46,3119786
2025-03-01,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_신학기_B_v1,55288,1341,325034,114,54,2979824
2025-03-01,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_신학기_v1,39417,896,240498,57,20,1402641
2025-03-01,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_신학기_A_v1,29483,399,112544,24,5,258310
2025-03-01,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_신학기_B_v1,40165,494,138031,35,9,382760
2025-03-01,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_신학기_v1,32677,394,123576,28,4,146870
2025-03-01,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_신학기_A_v1,45792,600,177829,57,11,663128
2025-03-01,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_신학기_B_v1,49435,838,211305,46,14,831993
2025-03-01,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_신학기_v1,45746,703,222515,68,14,625340
2025-03-01,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_신학기_A_v1,8703,200,43635,8,4,339782
2025-03-01,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_신학기_B_v1,13848,246,62859,10,4,242360
2025-03-01,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_신학기_v1,14276,237,51214,16,8,431238
