일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,48079,1188,223148,110,35,1731655
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,68378,2187,307463,207,50,3139170
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,68584,1435,322774,192,65,3865952
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,55830,1713,323626,153,40,2066792
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,69805,1755,368774,256,85,5786558
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,53221,1899,277883,190,37,2431823
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,43363,930,257717,76,15,985085
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,67552,1453,434063,206,65,3197242
2025-02-05,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,35641,1278,219852,108,37,2146790
2025-02-05,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,34309,1018,207827,132,54,2710632
2025-02-05,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,38556,967,226618,131,55,3337235
2025-02-05,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,64585,1991,375968,206,63,4190703
2025-02-05,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,40689,763,258848,54,22,1310716
2025-02-05,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,48515,1238,248377,98,48,3065810
2025-02-05,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,68973,1833,403783,172,65,3324904
2025-02-05,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,46802,1007,233858,79,31,1793964
2025-02-05,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,48609,1452,269239,123,41,2510077
2025-02-05,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,48801,693,220304,44,10,438020
2025-02-05,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,51478,903,190759,74,19,772429
2025-02-05,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,36222,610,154409,33,7,295664
2025-02-05,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,34160,775,168023,58,18,943308
2025-02-05,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,40178,932,175178,70,16,660266
2025-02-05,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,50748,791,217276,52,15,909269
2025-02-05,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,8894,187,39213,9,4,246017
2025-02-05,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,15176,280,65109,13,5,404159
2025-02-05,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,9509,254,47585,12,5,284874
2025-02-05,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,16886,328,59783,15,6,439414
2025-02-05,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,15733,415,64560,26,12,893109
2025-02-05,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,20893,573,88591,28,13,967790
2025-02-05,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,9545,1442,72623,405,175,11423058
2025-02-05,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,13359,1062,86535,208,67,4772075
2025-02-05,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,11700,942,101993,183,53,3047642
2025-02-05,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,4326,306,36615,31,25,2653804
2025-02-05,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,6747,298,58193,20,10,1098892
