일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-01-27,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,59789,1522,325124,195,55,3822711
2025-01-27,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,70021,1750,403212,192,37,2494941
2025-01-27,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,54221,1723,355631,238,73,3687009
2025-01-27,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,52361,1063,300876,95,30,1380127
2025-01-27,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,49098,1511,256821,228,64,3167532
2025-01-27,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,43848,1432,270940,136,38,2329425
2025-01-27,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,50365,1308,282169,113,24,1537784
2025-01-27,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,57322,1551,296620,194,54,2580742
2025-01-27,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,24647,1008,124618,83,31,1876769
2025-01-27,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,28077,1102,127736,145,83,3822678
2025-01-27,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,31004,796,183994,65,28,1938391
2025-01-27,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,49539,1435,233152,132,58,4428663
2025-01-27,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,69783,2167,414986,226,63,4918847
2025-01-27,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,56697,1797,283208,117,32,2040160
2025-01-27,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,70558,1257,319048,131,60,3873547
2025-01-27,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,40220,1165,238503,100,37,1944999
2025-01-27,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,44890,1079,203236,81,33,1823928
2025-01-27,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,54371,624,248438,51,8,314952
2025-01-27,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,35554,504,155666,34,5,191155
2025-01-27,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,38395,776,143217,61,17,922568
2025-01-27,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,46983,847,162125,80,22,1173148
2025-01-27,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,35209,725,130769,51,15,627106
2025-01-27,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,32278,580,110285,38,8,466018
2025-01-27,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,15342,334,52694,15,6,409466
2025-01-27,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,9016,224,43822,15,9,728857
2025-01-27,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,12101,270,55484,17,6,344576
2025-01-27,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,26518,606,114610,35,17,1006767
2025-01-27,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,14891,411,73824,17,7,503987
2025-01-27,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,23006,629,108617,37,14,1020034
2025-01-27,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,8675,1147,82333,272,172,10662009
2025-01-27,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,11194,669,78082,121,40,3061628
2025-01-27,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,9194,572,59974,99,46,3108524
