일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-03-12,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_봄_A_v1,61704,1835,330185,258,65,4405589
2025-03-12,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_봄_B_v1,66287,2047,338052,262,51,3535810
2025-03-12,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_봄_v1,43239,1335,196070,149,51,3382023
2025-03-12,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_봄_v2,46129,1325,262588,134,43,2766271
2025-03-12,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_봄_A_v1,44259,1194,262306,125,27,1802222
2025-03-12,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_봄_B_v1,54386,1295,269037,187,55,2496341
2025-03-12,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_봄_v1,48172,1305,238822,164,45,2216210
2025-03-12,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_봄_v2,49198,1006,221688,99,20,932710
2025-03-12,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_봄_A_v1,33679,1177,207757,161,62,4429022
2025-03-12,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_봄_B_v1,36467,1618,192006,129,61,2946141
2025-03-12,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_봄_v1,38955,983,213080,107,50,3361160
2025-03-12,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_봄_A_v1,50026,1432,300371,114,56,4288531
2025-03-12,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_봄_B_v1,61336,1863,312257,167,50,3829378
2025-03-12,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_봄_v1,42838,928,211674,100,37,2624619
2025-03-12,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_봄_A_v1,60185,1858,359633,140,42,3143218
2025-03-12,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_봄_B_v1,43576,968,245648,81,37,2538061
2025-03-12,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_봄_v1,61132,1705,325797,191,74,5249647
2025-03-12,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_봄_A_v1,48408,893,231743,71,16,760824
2025-03-12,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_봄_B_v1,30364,580,147721,44,9,378198
2025-03-12,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_봄_v1,47893,584,226681,37,7,350463
2025-03-12,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_봄_A_v1,54430,1131,231926,69,17,866594
2025-03-12,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_봄_B_v1,29444,573,126335,48,15,680537
2025-03-12,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_봄_v1,29847,542,136747,47,8,409625
2025-03-12,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_봄_A_v1,14567,358,73140,18,9,588675
2025-03-12,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_봄_B_v1,10787,249,46471,17,7,497472
2025-03-12,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_봄_v1,12535,223,51067,11,3,228698
2025-03-12,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_봄_A_v1,26369,465,90762,28,13,955967
2025-03-12,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_봄_B_v1,26812,600,124251,27,15,1160966
2025-03-12,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_봄_v1,20938,506,74160,33,19,1090215
2025-03-12,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_봄_A_v1,7075,1049,48416,232,145,9577571
2025-03-12,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_봄_A_v1,9057,950,78830,162,65,4333381
2025-03-12,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_봄_B_v1,12754,1019,94272,120,38,2122989
2025-03-12,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_봄_A_v1,3972,166,26431,13,7,579411
2025-03-12,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_봄_B_v1,4680,263,38460,32,21,2360862
2025-03-12,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_봄_v1,4410,196,36771,17,9,685582
2025-03-12,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_봄_A_v1,7648,347,70891,29,18,1830787
2025-03-12,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_봄_B_v1,6725,362,55174,25,15,1642491
2025-03-12,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_봄_v1,6364,276,48927,19,13,967466
