일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-03-20,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_봄_A_v1,53977,1357,280613,200,40,2850891
2025-03-20,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_봄_B_v1,45028,938,239217,137,43,2668822
2025-03-20,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_봄_v1,63290,2069,378139,230,79,5290888
2025-03-20,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_봄_v2,46215,1225,259175,105,32,2192837
2025-03-20,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_봄_A_v1,49447,1308,317472,115,25,1472845
2025-03-20,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_봄_B_v1,68937,1940,339174,219,50,2563031
2025-03-20,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_봄_v1,55111,1420,333046,122,27,1567791
2025-03-20,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_봄_v2,64973,2271,309524,334,79,5376645
2025-03-20,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_봄_A_v1,25319,1056,149617,106,56,3240782
2025-03-20,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_봄_B_v1,29244,1098,153235,83,32,2114095
2025-03-20,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_봄_v1,37646,1383,220062,183,78,3831533
2025-03-20,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_봄_A_v1,57460,1592,341155,184,73,4435878
2025-03-20,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_봄_B_v1,59581,1080,370761,75,29,1598008
2025-03-20,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_봄_v1,60329,1056,373607,95,32,1549113
2025-03-20,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_봄_A_v1,44869,1134,207880,125,35,1889190
2025-03-20,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_봄_B_v1,41557,960,187861,99,42,2147928
2025-03-20,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_봄_v1,51738,1514,270180,167,58,3817067
2025-03-20,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_봄_A_v1,43924,725,153598,48,11,420542
2025-03-20,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_봄_B_v1,44455,592,161538,49,14,688993
2025-03-20,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_봄_v1,41757,843,147418,56,9,449591
2025-03-20,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_봄_A_v1,38295,880,131379,82,24,1387220
2025-03-20,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_봄_B_v1,51394,688,252888,52,13,608012
2025-03-20,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_봄_v1,32076,643,156075,63,19,1089380
2025-03-20,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_봄_A_v1,16339,403,77687,28,13,913080
2025-03-20,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_봄_B_v1,13682,328,66641,20,7,533474
2025-03-20,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_봄_v1,15821,302,57999,15,9,637449
2025-03-20,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_봄_A_v1,16598,298,63702,18,9,651663
2025-03-20,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_봄_B_v1,25357,729,115185,44,22,1481771
2025-03-20,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_봄_v1,15822,290,54463,13,6,427163
2025-03-20,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_봄_A_v1,9306,889,67155,251,124,6945151
2025-03-20,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_봄_A_v1,10760,1030,87864,135,49,2925112
2025-03-20,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_봄_B_v1,13285,1277,116491,238,114,5777141
2025-03-20,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_봄_A_v1,5180,313,44494,32,27,2283120
2025-03-20,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_봄_B_v1,4033,185,33795,12,9,802409
2025-03-20,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_봄_v1,6527,421,54871,35,23,1986951
2025-03-20,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_봄_A_v1,8410,597,61513,44,39,3386645
2025-03-20,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_봄_B_v1,8028,584,54841,65,50,3752965
2025-03-20,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_봄_v1,8389,569,68190,52,42,3478707
