일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-02-18,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1672,144,31,1302404
2025-02-18,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,969,119,24,1579015
2025-02-18,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1831,230,46,2744868
2025-02-18,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1010,79,23,1749994
2025-02-18,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1291,102,28,1384924
2025-02-18,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1877,224,59,3403562
2025-02-18,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1193,118,27,1210073
2025-02-18,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1309,184,44,3043476
2025-02-18,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1380,167,76,5517613
2025-02-18,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,869,79,24,1293029
2025-02-18,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,1217,85,46,3335532
2025-02-18,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1232,102,40,2424316
2025-02-18,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1108,79,26,1809679
2025-02-18,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,611,62,18,1248964
2025-02-18,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,966,74,20,1636740
2025-02-18,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1202,108,33,2126557
2025-02-18,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1925,174,77,6321842
2025-02-18,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,641,48,9,491876
2025-02-18,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,549,33,5,402097
2025-02-18,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,600,43,6,296434
2025-02-18,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,953,52,17,932020
2025-02-18,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,652,56,11,543335
2025-02-18,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,641,46,11,510593
2025-02-18,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,335,15,8,592121
2025-02-18,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,250,10,6,451789
2025-02-18,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,173,8,4,360310
2025-02-18,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,318,13,5,509858
2025-02-18,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,447,16,7,566955
2025-02-18,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,434,17,9,777801
2025-02-18,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1685,314,142,10994047
2025-02-18,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,823,146,46,3211201
2025-02-18,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,1289,135,66,5475071
2025-02-18,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,257,26,15,1200849
2025-02-18,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,378,34,15,1603683
2025-02-18,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,328,19,15,1688428
2025-02-18,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,432,41,33,3376065
2025-02-18,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,385,25,16,1639662
2025-02-18,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,775,57,40,4214597
