일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-01-27,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1447,159,38,3012510
2025-01-27,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1523,138,26,2285837
2025-01-27,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1666,175,63,3239851
2025-01-27,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1009,79,25,1261361
2025-01-27,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1333,181,47,2414452
2025-01-27,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1341,101,32,2114165
2025-01-27,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1266,95,18,1376016
2025-01-27,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1331,154,41,1896541
2025-01-27,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,900,62,27,1714761
2025-01-27,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,1019,128,73,3153747
2025-01-27,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,703,45,21,1501836
2025-01-27,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1343,117,42,3256446
2025-01-27,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,2109,187,51,3624819
2025-01-27,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,1679,93,23,1833012
2025-01-27,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1209,111,50,3238378
2025-01-27,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1056,89,33,1550589
2025-01-27,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1021,72,28,1530804
2025-01-27,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,545,36,6,270100
2025-01-27,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,444,27,3,167145
2025-01-27,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,689,51,13,716081
2025-01-27,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,750,59,15,1085099
2025-01-27,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,708,43,12,511273
2025-01-27,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,499,28,6,384010
2025-01-27,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,286,11,4,324722
2025-01-27,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,207,12,6,651700
2025-01-27,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,243,14,4,310217
2025-01-27,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,545,30,15,752752
2025-01-27,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,367,13,5,401151
2025-01-27,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,560,28,10,833543
2025-01-27,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,983,246,127,9043185
2025-01-27,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,579,101,28,2601677
2025-01-27,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,489,84,31,2704588
2025-01-27,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,213,20,11,1309122
2025-01-27,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,249,20,13,1310899
2025-01-27,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,309,24,15,2351451
2025-01-27,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,429,43,27,2925221
2025-01-27,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,389,36,26,2165406
2025-01-27,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,484,49,40,3827065
