일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-02-25,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,886,103,41,3005362
2025-02-25,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,2326,181,75,5531246
2025-02-25,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1838,223,81,4638372
2025-02-25,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1244,139,62,4903022
2025-02-25,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1378,164,52,3151832
2025-02-25,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,2028,229,94,4740971
2025-02-25,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,2011,165,42,2498269
2025-02-25,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1087,105,50,3621063
2025-02-25,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,981,119,77,4052711
2025-02-25,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,1057,109,82,4037940
2025-02-25,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,1555,196,94,5671087
2025-02-25,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1171,91,51,2205275
2025-02-25,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1755,188,107,4962769
2025-02-25,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,826,47,31,1910383
2025-02-25,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1026,76,36,1570095
2025-02-25,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1212,94,35,2171261
2025-02-25,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,829,56,30,2062667
2025-02-25,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,794,40,14,860692
2025-02-25,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,811,57,17,1129387
2025-02-25,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,677,31,9,416506
2025-02-25,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,430,37,11,805166
2025-02-25,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,815,60,22,913668
2025-02-25,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,679,36,18,767866
2025-02-25,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,319,19,9,585076
2025-02-25,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,200,10,4,487567
2025-02-25,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,214,11,6,527535
2025-02-25,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,332,10,6,347584
2025-02-25,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,335,15,8,592979
2025-02-25,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,377,20,10,886856
2025-02-25,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,664,106,72,4062488
2025-02-25,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,679,73,43,2994951
2025-02-25,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,632,93,30,2303856
2025-02-25,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,285,24,32,3242887
2025-02-25,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,411,41,43,3148599
2025-02-25,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,247,18,22,2237640
2025-02-25,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,324,27,24,2316563
2025-02-25,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,337,28,15,1338944
2025-02-25,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,294,21,18,2243462
