일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-02-20,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1201,140,33,2484561
2025-02-20,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1213,94,18,1532287
2025-02-20,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1817,142,36,3013453
2025-02-20,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1188,122,27,2008220
2025-02-20,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1760,200,58,3605260
2025-02-20,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1882,151,39,1960319
2025-02-20,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1100,110,31,1748320
2025-02-20,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1430,151,50,3067121
2025-02-20,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,966,111,63,4694452
2025-02-20,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,1432,105,42,2609251
2025-02-20,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,1215,91,37,1753744
2025-02-20,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1581,101,50,2305711
2025-02-20,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,778,43,13,818130
2025-02-20,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,1428,104,33,2467355
2025-02-20,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1369,85,24,2129546
2025-02-20,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1016,65,29,1860629
2025-02-20,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1748,154,45,2460780
2025-02-20,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,440,33,4,245053
2025-02-20,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,546,29,5,255790
2025-02-20,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,350,22,4,216380
2025-02-20,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,872,57,15,694443
2025-02-20,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,591,44,7,419478
2025-02-20,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,656,40,10,773262
2025-02-20,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,283,15,10,966653
2025-02-20,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,195,7,2,230054
2025-02-20,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,259,14,5,293600
2025-02-20,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,673,32,12,1245143
2025-02-20,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,298,11,4,453618
2025-02-20,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,355,13,7,593524
2025-02-20,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,835,259,126,10938725
2025-02-20,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,929,145,52,3276320
2025-02-20,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,703,105,48,2682141
2025-02-20,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,426,23,12,957757
2025-02-20,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,297,34,27,2719435
2025-02-20,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,224,15,10,933980
2025-02-20,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,546,36,32,2185534
2025-02-20,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,460,44,20,1951601
2025-02-20,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,332,28,16,1312171
