일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1026,94,19,1306841
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,874,73,23,1194675
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,851,90,21,1134189
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,639,59,11,745519
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1562,203,35,1646099
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1128,89,21,1170439
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1035,105,24,1477469
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,837,69,19,1418226
2025-01-04,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1007,79,37,2526709
2025-01-04,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,834,101,45,2284230
2025-01-04,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,548,58,18,1192467
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,966,90,38,2592652
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,549,48,16,1307356
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,900,69,23,1456309
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,558,40,14,1092527
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,715,56,19,1530019
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1260,109,44,3021435
2025-01-04,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,293,20,2,139747
2025-01-04,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,676,34,10,417695
2025-01-04,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,438,24,5,238801
2025-01-04,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,498,34,8,404787
2025-01-04,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,472,41,12,488573
2025-01-04,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,504,24,6,371653
2025-01-04,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,156,6,1,102539
2025-01-04,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,319,17,5,440325
2025-01-04,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,141,5,2,225408
2025-01-04,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,228,12,4,333273
2025-01-04,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,228,10,4,248738
2025-01-04,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,349,19,6,452860
2025-01-04,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,865,177,121,10782458
2025-01-04,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,617,108,39,2979997
2025-01-04,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,418,67,28,2074350
2025-01-04,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,244,18,9,752748
2025-01-04,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,286,25,20,2325680
2025-01-04,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,196,18,9,905811
2025-01-04,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,377,30,24,3143028
2025-01-04,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,477,48,34,2555484
2025-01-04,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,403,43,26,2986265
