일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-01-26,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1478,147,37,2015464
2025-01-26,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1063,102,22,1092547
2025-01-26,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,666,44,7,419626
2025-01-26,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1057,133,34,1687328
2025-01-26,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1185,115,36,2174760
2025-01-26,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,850,91,23,1621178
2025-01-26,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1121,97,21,1241513
2025-01-26,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1292,116,27,1874624
2025-01-26,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1031,67,21,1309036
2025-01-26,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,801,97,46,2446032
2025-01-26,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,928,100,41,2514345
2025-01-26,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,554,31,8,508191
2025-01-26,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1220,115,55,3445563
2025-01-26,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,1426,99,27,1568013
2025-01-26,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1074,84,21,1328947
2025-01-26,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1322,119,48,2168701
2025-01-26,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,762,91,28,2290342
2025-01-26,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,612,39,11,505665
2025-01-26,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,583,24,5,286361
2025-01-26,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,454,32,7,364437
2025-01-26,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,404,16,2,146489
2025-01-26,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,407,26,4,261345
2025-01-26,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,577,39,7,335426
2025-01-26,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,248,10,3,270096
2025-01-26,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,185,9,3,180997
2025-01-26,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,245,11,4,413069
2025-01-26,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,231,13,5,524057
2025-01-26,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,264,9,6,484061
2025-01-26,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,226,12,7,461652
2025-01-26,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,666,181,63,3776597
2025-01-26,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,934,120,49,2509944
2025-01-26,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,570,56,21,1821162
2025-01-26,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,350,29,22,2450919
2025-01-26,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,207,12,10,1115971
2025-01-26,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,234,19,10,1027533
2025-01-26,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,237,26,16,1305231
2025-01-26,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,414,40,24,2539157
2025-01-26,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,386,33,27,2677617
