일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-02-15,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1122,76,39,1791861
2025-02-15,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,963,107,39,1643591
2025-02-15,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,657,59,17,992779
2025-02-15,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1772,195,103,6356660
2025-02-15,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,877,75,24,1229648
2025-02-15,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1497,141,45,2612479
2025-02-15,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,707,59,18,1406495
2025-02-15,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,965,77,28,1925895
2025-02-15,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,898,102,54,3277808
2025-02-15,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,815,66,44,2811566
2025-02-15,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,607,65,49,2312164
2025-02-15,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1149,74,57,3143687
2025-02-15,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,881,76,36,2776415
2025-02-15,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,603,53,23,1180739
2025-02-15,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1083,99,36,1878306
2025-02-15,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,585,50,24,1094920
2025-02-15,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,921,53,29,1740638
2025-02-15,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,443,23,7,379709
2025-02-15,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,366,15,3,138834
2025-02-15,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,542,34,11,567853
2025-02-15,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,510,43,11,472814
2025-02-15,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,415,26,8,385858
2025-02-15,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,738,54,22,950249
2025-02-15,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,217,11,6,414788
2025-02-15,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,151,7,4,374773
2025-02-15,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,142,4,2,151672
2025-02-15,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,229,12,10,947311
2025-02-15,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,431,13,8,609843
2025-02-15,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,253,10,5,392690
2025-02-15,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,587,107,56,3485464
2025-02-15,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,997,130,68,5312316
2025-02-15,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,652,78,49,4079044
2025-02-15,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,311,20,20,1747590
2025-02-15,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,271,18,15,1327340
2025-02-15,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,277,32,25,1846447
2025-02-15,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,459,47,42,3746946
2025-02-15,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,364,30,26,2825307
2025-02-15,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,312,32,40,2897748
