일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-01-10,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1001,81,21,1800085
2025-01-10,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1239,111,30,2147294
2025-01-10,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1098,97,34,2004933
2025-01-10,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1185,97,29,1975432
2025-01-10,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,961,100,51,2326671
2025-01-10,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1062,136,53,3077758
2025-01-10,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1611,172,60,3135984
2025-01-10,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1379,95,47,3117477
2025-01-10,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,983,110,57,3360367
2025-01-10,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,795,70,33,2249562
2025-01-10,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,979,69,48,3831760
2025-01-10,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1447,112,69,4265808
2025-01-10,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1335,132,51,2416941
2025-01-10,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,1123,72,40,3491921
2025-01-10,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1510,123,71,5081628
2025-01-10,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1929,161,90,5514386
2025-01-10,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1700,114,93,7382258
2025-01-10,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,484,35,11,555495
2025-01-10,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,588,30,8,427856
2025-01-10,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,635,34,10,576910
2025-01-10,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,745,46,12,473623
2025-01-10,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,478,42,9,713535
2025-01-10,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,1004,64,19,1256022
2025-01-10,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,308,14,10,587084
2025-01-10,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,408,22,17,1127733
2025-01-10,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,238,9,4,391857
2025-01-10,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,322,14,6,443931
2025-01-10,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,444,23,15,987394
2025-01-10,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,332,14,7,612243
2025-01-10,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1737,413,312,25879843
2025-01-10,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1102,145,69,4719718
2025-01-10,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,625,82,39,2792886
2025-01-10,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,236,25,25,1827921
2025-01-10,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,373,23,26,2175817
2025-01-10,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,235,20,19,1885321
2025-01-10,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,561,60,37,4049478
2025-01-10,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,509,47,49,4482118
2025-01-10,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,474,57,57,6089080
