일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-01-24,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1522,103,23,1285902
2025-01-24,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1007,78,19,1493273
2025-01-24,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1325,137,53,3307036
2025-01-24,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1016,94,19,1000340
2025-01-24,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1415,109,29,1745420
2025-01-24,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1099,90,30,1228867
2025-01-24,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1298,97,31,1613820
2025-01-24,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,864,59,24,1376268
2025-01-24,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1319,140,58,4415700
2025-01-24,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,753,67,36,3218302
2025-01-24,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,908,71,40,3022677
2025-01-24,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,813,55,17,1183980
2025-01-24,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1343,90,35,2082751
2025-01-24,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,1209,96,54,3075152
2025-01-24,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1745,105,31,2334191
2025-01-24,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1855,147,62,3002641
2025-01-24,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1206,112,36,2137925
2025-01-24,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,358,26,4,159081
2025-01-24,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,560,31,6,264446
2025-01-24,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,558,39,9,492924
2025-01-24,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,716,56,10,533697
2025-01-24,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,902,52,12,690695
2025-01-24,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,418,31,7,363353
2025-01-24,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,294,14,4,333846
2025-01-24,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,171,5,2,165533
2025-01-24,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,404,16,9,548842
2025-01-24,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,539,23,11,965661
2025-01-24,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,582,39,16,1523299
2025-01-24,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,365,15,9,704308
2025-01-24,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,953,267,102,7463610
2025-01-24,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,590,62,23,1319312
2025-01-24,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,791,102,37,1848082
2025-01-24,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,430,35,27,3005082
2025-01-24,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,410,30,30,2188686
2025-01-24,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,213,17,12,841307
2025-01-24,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,401,41,38,2760826
2025-01-24,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,542,30,15,1672485
2025-01-24,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,593,50,31,2118676
