일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-03-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_신학기_A_v1,1492,139,28,1765442
2025-03-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_신학기_B_v1,1503,172,46,3170728
2025-03-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_신학기_v1,1373,118,31,2044184
2025-03-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_신학기_v2,1304,173,52,3169796
2025-03-01,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_신학기_A_v1,1715,207,56,3605749
2025-03-01,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_신학기_B_v1,1857,218,49,2524256
2025-03-01,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_신학기_v1,2206,208,48,2590113
2025-03-01,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_신학기_v2,1328,163,41,2547263
2025-03-01,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_신학기_A_v1,1350,93,27,2396995
2025-03-01,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_신학기_B_v1,814,54,17,1098994
2025-03-01,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_신학기_v1,839,85,33,1802035
2025-03-01,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_신학기_A_v1,1342,153,74,4323651
2025-03-01,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_신학기_B_v1,1020,99,44,3208549
2025-03-01,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_신학기_v1,1216,82,30,2689736
2025-03-01,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_신학기_A_v1,1269,123,34,2547725
2025-03-01,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_신학기_B_v1,1197,94,37,2743660
2025-03-01,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_신학기_v1,827,43,16,1234180
2025-03-01,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_신학기_A_v1,382,20,3,223176
2025-03-01,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_신학기_B_v1,466,31,7,315264
2025-03-01,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_신학기_v1,349,23,3,126031
2025-03-01,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_신학기_A_v1,521,46,9,596268
2025-03-01,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_신학기_B_v1,777,34,9,765851
2025-03-01,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_신학기_v1,611,48,10,460052
2025-03-01,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_신학기_A_v1,172,7,3,250339
2025-03-01,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_신학기_B_v1,213,8,3,190248
2025-03-01,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_신학기_v1,231,13,6,318484
2025-03-01,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_신학기_A_v1,247,15,5,346219
2025-03-01,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_신학기_B_v1,540,24,11,703067
2025-03-01,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_신학기_v1,531,18,11,652579
2025-03-01,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_신학기_A_v1,1087,212,130,8945406
2025-03-01,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_신학기_A_v1,798,96,26,1579136
2025-03-01,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_신학기_B_v1,633,108,45,3245064
2025-03-01,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_신학기_A_v1,344,23,20,2567047
2025-03-01,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_신학기_B_v1,269,29,27,2186723
2025-03-01,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_신학기_v1,232,14,8,1110718
2025-03-01,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_신학기_A_v1,512,43,40,3161819
2025-03-01,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_신학기_B_v1,571,36,21,2425581
2025-03-01,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_신학기_v1,478,42,36,4444065
